Datenfeldname im Minimaldatensatz;Verpflichtungsgrad ;Feldinhalt Beispieldatensatz;Ausprägung in LIDO
Text (1);;Blick in geöffneten Kabinettschrank mit dunkelbrauner und weißer Fassadenarchitektur aus Ebenholz und Elfenbein im Inneren des Schrankes und der beiden Türen;<resourceDescription>
Text (2);;Detailansicht eines Kabinettschranks mit gravierter Elfenbeinplakette mit Abbildung des Romulus in Rom;<resourceDescription>
Text (3);;Detailansicht eines Kabinettschranks mit Fassadenarchitektur einschließlich Säulen, Atlanten und weiterer gravierter Bauelemente aus Elfenbein auf Ebenholzkonstruktion;<resourceDescription>
DATENFELDER EXPORT;;;
ID Datensatz;Pflicht;DE-MUS-059918/dc00018494;<lidoRecID>
lokaler Identifikator;;dc00018494;<recordID>
Sprache des Datensatzes;Pflicht;de;xml:lang (Attribut!)
Datensatzart;Pflicht;;<recordType>
URI;;http://terminology.lido-schema.org/lido00141;<conceptID>
Text, deutsch;;Einzelobjekt (Katalogisierungsebene);"<term xml:lang=""de"">"
Text, englisch;;item-level record;"<term xml:lang=""en"">"
Verwahrende Einrichtung;Pflicht;;"<lido:repositoryName lido:type=""http://terminology.lido-schema.org/lido00475""> "
URI, ISIL;;http://ld.zdb-services.de/resource/organisations/DE-MUS-059918;<legalBodyID>
Text;;Museum für Kunst und Gewerbe;<legalBodyName> / <appellationValue>
Datensatzerstellende Einrichtung;Pflicht;;<recordSource>
URI, ISIL;;https://ld.zdb-services.de/resource/organisations/DE-MUS-059918;<legalBodyID>
Text;;Museum für Kunst und Gewerbe Hamburg;<legalBodyName> / <appellationValue>
Aggregator;;;"<recordSource lido:type=""dataProvider"">"
URI, ISIL;;https://d-nb.info/gnd/16329731-9;<legalBodyID>
Text;;digiCULT-Verbund eG;<legalBodyName> / <appellationValue>
Mediendatei: Medientyp;Pflicht;;<resourceType>
Text (1 - 3);;Bild;<term>
Nutzungsrechte Metadaten;Pflicht;;<recordRights>
URI;;http://creativecommons.org/publicdomain/zero/1.0/ ;<rightsType> / <conceptID>
Text;;CC0 1.0 Universell;<rightsType> / <term>
Link zum veröffentlichten Metadatensatz;Empfehlung ;;<recordInfoSet>
URL;;http://sammlungonline.mkg-hamburg.de/de/object/Kabinettschrank/1977.20/dc00018494;<recordInfoLink>
Datierung des Datensatzes;Empfehlung ;;"<recordInfoSet lido:type=""http://terminology.lido-schema.org/lido00470"">"
Datumsformat;;2021-01-30T15:44:49+01:00;"<recordMetadataDate lido:type=""http://terminology.lido-schema.org/lido00472"">"
